EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 09-11-2016
THESE DATA CAN BE USED FREELY FOR NON-COMMERCIAL RESEARCH PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TN   : Minimum temperature in 0.1 &#176;C
30-34 Q_TN : quality code for TN (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station RENNES-ST JACQUES, FRANCE (STAID: 322)
Blended and updated with sources:4926 907130 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TN, Q_TN
   322,  4926,19450101,    6,    0
   322,  4926,19450102,  -41,    0
   322,  4926,19450103,   14,    0
   322,  4926,19450104,    1,    0
   322,  4926,19450105,   21,    0
   322,  4926,19450106,  -14,    0
   322,  4926,19450107,   15,    0
   322,  4926,19450108,  -16,    0
   322,  4926,19450109,  -12,    0
   322,  4926,19450110,   -3,    0
   322,  4926,19450111,  -40,    0
   322,  4926,19450112,  -97,    0
   322,  4926,19450113, -126,    0
   322,  4926,19450114,  -38,    0
   322,  4926,19450115,  -73,    0
   322,  4926,19450116,  -12,    0
   322,  4926,19450117,  -47,    0
   322,  4926,19450118,  -30,    0
   322,  4926,19450119,   28,    0
   322,  4926,19450120,    0,    0
   322,  4926,19450121,  -14,    0
   322,  4926,19450122,  -18,    0
   322,  4926,19450123,    4,    0
   322,  4926,19450124,   -5,    0
   322,  4926,19450125,  -38,    0
   322,  4926,19450126, -120,    0
   322,  4926,19450127,    4,    0
   322,  4926,19450128,  -43,    0
   322,  4926,19450129,  -52,    0
   322,  4926,19450130,  -37,    0
   322,  4926,19450131,   78,    0
   322,  4926,19450201,   90,    0
   322,  4926,19450202,   82,    0
   322,  4926,19450203,   48,    0
   322,  4926,19450204,   83,    0
   322,  4926,19450205,  104,    0
   322,  4926,19450206,   68,    0
   322,  4926,19450207,   95,    0
   322,  4926,19450208,   54,    0
   322,  4926,19450209,   40,    0
   322,  4926,19450210,   45,    0
   322,  4926,19450211,   43,    0
   322,  4926,19450212,  112,    0
   322,  4926,19450213,   96,    0
   322,  4926,19450214,   22,    0
   322,  4926,19450215,  -12,    0
   322,  4926,19450216,    2,    0
   322,  4926,19450217,   85,    0
   322,  4926,19450218,   84,    0
   322,  4926,19450219,  103,    0
   322,  4926,19450220,   93,    0
   322,  4926,19450221,   41,    0
   322,  4926,19450222,  -10,    0
   322,  4926,19450223,  -14,    0
   322,  4926,19450224,   34,    0
   322,  4926,19450225,   23,    0
   322,  4926,19450226,   35,    0
   322,  4926,19450227,   67,    0
   322,  4926,19450228,   54,    0
   322,  4926,19450301,   27,    0
   322,  4926,19450302,   28,    0
   322,  4926,19450303,  -16,    0
   322,  4926,19450304,  -17,    0
   322,  4926,19450305,   42,    0
   322,  4926,19450306,   34,    0
   322,  4926,19450307,   64,    0
   322,  4926,19450308,   15,    0
   322,  4926,19450309,   22,    0
   322,  4926,19450310,  -11,    0
   322,  4926,19450311,   -7,    0
   322,  4926,19450312,  -10,    0
   322,  4926,19450313,  -12,    0
   322,  4926,19450314,    2,    0
   322,  4926,19450315,   19,    0
   322,  4926,19450316,   64,    0
   322,  4926,19450317,   44,    0
   322,  4926,19450318,   -8,    0
   322,  4926,19450319,   44,    0
   322,  4926,19450320,   90,    0
   322,  4926,19450321,   80,    0
   322,  4926,19450322,   18,    0
   322,  4926,19450323,   64,    0
   322,  4926,19450324,   80,    0
   322,  4926,19450325,   87,    0
   322,  4926,19450326,   85,    0
   322,  4926,19450327,   12,    0
   322,  4926,19450328,   92,    0
   322,  4926,19450329,  108,    0
   322,  4926,19450330,   82,    0
   322,  4926,19450331,   67,    0
   322,  4926,19450401,  104,    0
   322,  4926,19450402,   88,    0
   322,  4926,19450403,   42,    0
   322,  4926,19450404,   15,    0
   322,  4926,19450405,   54,    0
   322,  4926,19450406,   45,    0
   322,  4926,19450407,   66,    0
   322,  4926,19450408,   22,    0
   322,  4926,19450409,   32,    0
   322,  4926,19450410,   42,    0
   322,  4926,19450411,   88,    0
   322,  4926,19450412,  115,    0
   322,  4926,19450413,   75,    0
   322,  4926,19450414,   98,    0
   322,  4926,19450415,   70,    0
   322,  4926,19450416,   80,    0
   322,  4926,19450417,   97,    0
   322,  4926,19450418,   98,    0
   322,  4926,19450419,   92,    0
   322,  4926,19450420,   85,    0
   322,  4926,19450421,  104,    0
   322,  4926,19450422,   35,    0
   322,  4926,19450423,   40,    0
   322,  4926,19450424,   31,    0
   322,  4926,19450425,   30,    0
   322,  4926,19450426,  118,    0
   322,  4926,19450427,   88,    0
   322,  4926,19450428,   35,    0
   322,  4926,19450429,   29,    0
   322,  4926,19450430,   11,    0
   322,  4926,19450501,  -12,    0
   322,  4926,19450502,  -10,    0
   322,  4926,19450503,   -9,    0
   322,  4926,19450504,   63,    0
   322,  4926,19450505,   90,    0
   322,  4926,19450506,  120,    0
   322,  4926,19450507,   81,    0
   322,  4926,19450508,  120,    0
   322,  4926,19450509,  130,    0
   322,  4926,19450510,  116,    0
   322,  4926,19450511,  128,    0
   322,  4926,19450512,  120,    0
   322,  4926,19450513,  120,    0
   322,  4926,19450514,   70,    0
   322,  4926,19450515,   64,    0
   322,  4926,19450516,   96,    0
   322,  4926,19450517,  140,    0
   322,  4926,19450518,  105,    0
   322,  4926,19450519,  118,    0
   322,  4926,19450520,  126,    0
   322,  4926,19450521,   82,    0
   322,  4926,19450522,   74,    0
   322,  4926,19450523,   54,    0
   322,  4926,19450524,   50,    0
   322,  4926,19450525,   40,    0
   322,  4926,19450526,   95,    0
   322,  4926,19450527,  105,    0
   322,  4926,19450528,   70,    0
   322,  4926,19450529,   80,    0
   322,  4926,19450530,   45,    0
   322,  4926,19450531,   86,    0
   322,  4926,19450601,   93,    0
   322,  4926,19450602,   96,    0
   322,  4926,19450603,   87,    0
   322,  4926,19450604,  130,    0
   322,  4926,19450605,  124,    0
   322,  4926,19450606,  135,    0
   322,  4926,19450607,  160,    0
   322,  4926,19450608,  110,    0
   322,  4926,19450609,   79,    0
   322,  4926,19450610,   75,    0
   322,  4926,19450611,  144,    0
   322,  4926,19450612,  145,    0
   322,  4926,19450613,   76,    0
   322,  4926,19450614,   60,    0
   322,  4926,19450615,  131,    0
   322,  4926,19450616,  110,    0
   322,  4926,19450617,  110,    0
   322,  4926,19450618,   78,    0
   322,  4926,19450619,  121,    0
   322,  4926,19450620,  164,    0
   322,  4926,19450621,  140,    0
   322,  4926,19450622,   98,    0
   322,  4926,19450623,  120,    0
   322,  4926,19450624,  124,    0
   322,  4926,19450625,  122,    0
   322,  4926,19450626,  123,    0
   322,  4926,19450627,  108,    0
   322,  4926,19450628,   78,    0
   322,  4926,19450629,  120,    0
   322,  4926,19450630,  106,    0
   322,  4926,19450701,  127,    0
   322,  4926,19450702,  107,    0
   322,  4926,19450703,  101,    0
   322,  4926,19450704,  120,    0
   322,  4926,19450705,  132,    0
   322,  4926,19450706,  145,    0
   322,  4926,19450707,  138,    0
   322,  4926,19450708,   95,    0
   322,  4926,19450709,  126,    0
   322,  4926,19450710,  126,    0
   322,  4926,19450711,  108,    0
   322,  4926,19450712,  115,    0
   322,  4926,19450713,  160,    0
   322,  4926,19450714,  167,    0
   322,  4926,19450715,  150,    0
   322,  4926,19450716,  118,    0
   322,  4926,19450717,   94,    0
   322,  4926,19450718,  160,    0
   322,  4926,19450719,  147,    0
   322,  4926,19450720,  138,    0
   322,  4926,19450721,  133,    0
   322,  4926,19450722,  154,    0
   322,  4926,19450723,   92,    0
   322,  4926,19450724,   85,    0
   322,  4926,19450725,  108,    0
   322,  4926,19450726,  162,    0
   322,  4926,19450727,  147,    0
   322,  4926,19450728,   90,    0
   322,  4926,19450729,  102,    0
   322,  4926,19450730,   87,    0
   322,  4926,19450731,  151,    0
   322,  4926,19450801,  140,    0
   322,  4926,19450802,  140,    0
   322,  4926,19450803,   90,    0
   322,  4926,19450804,  110,    0
   322,  4926,19450805,  124,    0
   322,  4926,19450806,   92,    0
   322,  4926,19450807,   82,    0
   322,  4926,19450808,  102,    0
   322,  4926,19450809,   99,    0
   322,  4926,19450810,   57,    0
   322,  4926,19450811,  100,    0
   322,  4926,19450812,  116,    0
   322,  4926,19450813,  140,    0
   322,  4926,19450814,  120,    0
   322,  4926,19450815,  154,    0
   322,  4926,19450816,   80,    0
   322,  4926,19450817,  108,    0
   322,  4926,19450818,  142,    0
   322,  4926,19450819,  126,    0
   322,  4926,19450820,  100,    0
   322,  4926,19450821,  147,    0
   322,  4926,19450822,  127,    0
   322,  4926,19450823,  144,    0
   322,  4926,19450824,  111,    0
   322,  4926,19450825,  140,    0
   322,  4926,19450826,  162,    0
   322,  4926,19450827,  112,    0
   322,  4926,19450828,  158,    0
   322,  4926,19450829,  160,    0
   322,  4926,19450830,  135,    0
   322,  4926,19450831,  110,    0
   322,  4926,19450901,  158,    0
   322,  4926,19450902,  152,    0
   322,  4926,19450903,  130,    0
   322,  4926,19450904,  130,    0
   322,  4926,19450905,  133,    0
   322,  4926,19450906,  140,    0
   322,  4926,19450907,  142,    0
   322,  4926,19450908,  110,    0
   322,  4926,19450909,  120,    0
   322,  4926,19450910,  110,    0
   322,  4926,19450911,  180,    0
   322,  4926,19450912,  120,    0
   322,  4926,19450913,  136,    0
   322,  4926,19450914,  112,    0
   322,  4926,19450915,  145,    0
   322,  4926,19450916,  173,    0
   322,  4926,19450917,  130,    0
   322,  4926,19450918,  145,    0
   322,  4926,19450919,  135,    0
   322,  4926,19450920,  138,    0
   322,  4926,19450921,  110,    0
   322,  4926,19450922,  104,    0
   322,  4926,19450923,   55,    0
   322,  4926,19450924,   92,    0
   322,  4926,19450925,   80,    0
   322,  4926,19450926,   40,    0
   322,  4926,19450927,  124,    0
   322,  4926,19450928,   80,    0
   322,  4926,19450929,  108,    0
   322,  4926,19450930,   40,    0
   322,  4926,19451001,   62,    0
   322,  4926,19451002,   54,    0
   322,  4926,19451003,   80,    0
   322,  4926,19451004,   50,    0
   322,  4926,19451005,   70,    0
   322,  4926,19451006,    0,    0
   322,  4926,19451007,   94,    0
   322,  4926,19451008,   34,    0
   322,  4926,19451009,   10,    0
   322,  4926,19451010,   59,    0
   322,  4926,19451011,   81,    0
   322,  4926,19451012,   49,    0
   322,  4926,19451013,   60,    0
   322,  4926,19451014,   90,    0
   322,  4926,19451015,   50,    0
   322,  4926,19451016,   30,    0
   322,  4926,19451017,   53,    0
   322,  4926,19451018,   82,    0
   322,  4926,19451019,   75,    0
   322,  4926,19451020,  118,    0
   322,  4926,19451021,  154,    0
   322,  4926,19451022,  112,    0
   322,  4926,19451023,  132,    0
   322,  4926,19451024,  104,    0
   322,  4926,19451025,  112,    0
   322,  4926,19451026,  103,    0
   322,  4926,19451027,   69,    0
   322,  4926,19451028,  112,    0
   322,  4926,19451029,   82,    0
