"Marché";"Marché label";"Jour";"Jour dd/mm/yyy";"Jour de la semaine";"Heure";"Poids CA (Global)";"Nb tickets";"Panier Moyen";"Qtés vendues"
"Total";;;;;;"100,00%";"--";"--";257611
2;"BEAUTE";"Total";;;;"100,00%";"--";"--";31010
;;"02 Janvier 2015";"02/01/2015";"Total";;"100,00%";"--";"--";127
;;;;"Vendredi";"Total";"100,00%";"--";"--";127
;;;;;"10 - 11 heures";"2,41%";4;35,55;5
;;;;;"11 - 12 heures";"7,74%";5;91,3;7
;;;;;"12 - 13 heures";"5,06%";6;49,78;8
;;;;;"13 - 14 heures";"5,12%";5;60,4;9
;;;;;"14 - 15 heures";"7,11%";9;46,62;12
;;;;;"15 - 16 heures";"13,03%";11;69,85;18
;;;;;"16 - 17 heures";"23,91%";9;156,72;17
;;;;;"17 - 18 heures";"7,70%";10;45,41;12
;;;;;"18 - 19 heures";"22,18%";15;87,24;27
;;;;;"19 - 20 heures";"4,93%";6;48,43;9
;;;;;"20 - 21 heures";"0,81%";2;23,8;3
;;"03 Janvier 2015";"03/01/2015";"Total";;"100,00%";"--";"--";78
;;;;"Samedi";"Total";"100,00%";"--";"--";78
;;;;;"9 - 10 heures";"2,14%";1;59,5;1
;;;;;"11 - 12 heures";"9,46%";4;65,6;6
;;;;;"12 - 13 heures";"6,00%";4;41,6;7
;;;;;"13 - 14 heures";"0,81%";1;22,5;1
;;;;;"14 - 15 heures";"12,42%";6;57,42;10
;;;;;"15 - 16 heures";"14,76%";7;58,49;12
;;;;;"16 - 17 heures";"9,11%";7;36,1;10
;;;;;"17 - 18 heures";"16,11%";8;55,88;12
;;;;;"18 - 19 heures";"23,88%";9;73,6;15
;;;;;"19 - 20 heures";"5,01%";3;46,33;3
;;;;;"20 - 21 heures";"0,31%";1;8,5;1
;;"05 Janvier 2015";"05/01/2015";"Total";;"100,00%";"--";"--";34
;;;;"Lundi";"Total";"100,00%";"--";"--";34
;;;;;"9 - 10 heures";"2,27%";1;29;1
;;;;;"10 - 11 heures";"6,03%";1;77;2
;;;;;"11 - 12 heures";"9,83%";2;62,75;2
;;;;;"12 - 13 heures";"22,35%";5;57,08;10
;;;;;"13 - 14 heures";"14,49%";3;61,67;4
;;;;;"14 - 15 heures";"9,91%";2;63,25;3
;;;;;"15 - 16 heures";"14,24%";4;45,48;5
;;;;;"16 - 17 heures";"9,24%";2;59;3
;;;;;"17 - 18 heures";"2,76%";2;17,65;2
;;;;;"19 - 20 heures";"8,89%";2;56,75;2
;;"06 Janvier 2015";"06/01/2015";"Total";;"100,00%";"--";"--";52
;;;;"Mardi";"Total";"100,00%";"--";"--";52
;;;;;"10 - 11 heures";"7,38%";4;41,38;5
;;;;;"12 - 13 heures";"19,30%";7;61,89;11
;;;;;"13 - 14 heures";"3,63%";1;81,5;2
;;;;;"14 - 15 heures";"12,61%";5;56,6;9
;;;;;"15 - 16 heures";"8,12%";4;45,55;6
;;;;;"16 - 17 heures";"27,12%";6;101,42;7
;;;;;"17 - 18 heures";"16,72%";6;62,52;10
;;;;;"18 - 19 heures";"1,29%";1;29;1
;;;;;"19 - 20 heures";"3,83%";1;86;1
;;"07 Janvier 2015";"07/01/2015";"Total";;"100,00%";"--";"--";200
;;;;"Mercredi";"Total";"100,00%";"--";"--";200
;;;;;"8 - 9 heures";"0,09%";1;3,75;1
;;;;;"9 - 10 heures";"2,94%";3;41,3;5
;;;;;"10 - 11 heures";"4,12%";3;57,86;11
;;;;;"11 - 12 heures";"13,44%";15;37,74;25
;;;;;"12 - 13 heures";"15,17%";18;35,52;27
;;;;;"13 - 14 heures";"3,29%";9;15,42;13
;;;;;"14 - 15 heures";"8,99%";11;34,45;18
;;;;;"15 - 16 heures";"18,86%";17;46,74;33
;;;;;"16 - 17 heures";"13,10%";13;42,47;22
;;;;;"17 - 18 heures";"3,21%";7;19,35;8
;;;;;"18 - 19 heures";"4,17%";5;35,14;7
;;;;;"19 - 20 heures";"8,88%";11;34,01;16
;;;;;"20 - 21 heures";"3,73%";6;26,17;14
;;"08 Janvier 2015";"08/01/2015";"Total";;"100,00%";"--";"--";118
;;;;"Jeudi";"Total";"100,00%";"--";"--";118
;;;;;"10 - 11 heures";"9,94%";9;35,52;15
;;;;;"11 - 12 heures";"4,08%";5;26,27;5
;;;;;"12 - 13 heures";"7,01%";8;28,18;13
;;;;;"13 - 14 heures";"6,76%";7;31,08;9
;;;;;"14 - 15 heures";"8,31%";7;38,19;13
;;;;;"15 - 16 heures";"11,76%";11;34,38;14
;;;;;"16 - 17 heures";"5,83%";3;62,52;4
;;;;;"17 - 18 heures";"22,00%";15;47,18;22
;;;;;"18 - 19 heures";"12,64%";8;50,81;13
;;;;;"19 - 20 heures";"8,53%";4;68,58;7
;;;;;"20 - 21 heures";"3,15%";3;33,77;3
;;"09 Janvier 2015";"09/01/2015";"Total";;"100,00%";"--";"--";146
;;;;"Vendredi";"Total";"100,00%";"--";"--";146
;;;;;"9 - 10 heures";"2,03%";2;35,65;4
;;;;;"10 - 11 heures";"3,25%";1;114;1
;;;;;"11 - 12 heures";"6,28%";4;55,08;13
;;;;;"12 - 13 heures";"2,64%";4;23,19;4
;;;;;"13 - 14 heures";"12,18%";14;30,53;21
;;;;;"14 - 15 heures";"12,31%";7;61,71;16
;;;;;"15 - 16 heures";"6,68%";9;26,03;15
;;;;;"16 - 17 heures";"24,64%";18;48,02;27
;;;;;"17 - 18 heures";"14,94%";11;47,66;20
;;;;;"18 - 19 heures";"13,93%";10;48,86;20
;;;;;"19 - 20 heures";"1,12%";3;13,07;5
;;"10 Janvier 2015";"10/01/2015";"Total";;"100,00%";"--";"--";265
;;;;"Samedi";"Total";"100,00%";"--";"--";265
;;;;;"9 - 10 heures";"1,21%";1;82;1
;;;;;"10 - 11 heures";"9,91%";16;41,86;34
;;;;;"11 - 12 heures";"7,05%";13;36,63;26
;;;;;"12 - 13 heures";"5,51%";8;46,54;11
;;;;;"13 - 14 heures";"5,28%";8;44,61;15
;;;;;"14 - 15 heures";"6,27%";11;38,5;17
;;;;;"15 - 16 heures";"16,26%";22;49,94;37
;;;;;"16 - 17 heures";"21,64%";30;48,73;59
;;;;;"17 - 18 heures";"10,95%";14;52,84;21
;;;;;"18 - 19 heures";"8,38%";11;51,44;18
;;;;;"19 - 20 heures";"7,11%";14;34,3;24
;;;;;"20 - 21 heures";"0,43%";2;14,46;2
;;"12 Janvier 2015";"12/01/2015";"Total";;"100,00%";"--";"--";145
;;;;"Lundi";"Total";"100,00%";"--";"--";145
;;;;;"10 - 11 heures";"4,05%";2;66,98;4
;;;;;"11 - 12 heures";"8,02%";7;37,89;12
;;;;;"12 - 13 heures";"4,75%";3;52,4;10
;;;;;"13 - 14 heures";"1,79%";6;9,88;9
;;;;;"14 - 15 heures";"0,18%";4;1,5;7
;;;;;"15 - 16 heures";"13,62%";14;32,17;19
;;;;;"16 - 17 heures";"31,70%";20;52,41;34
;;;;;"17 - 18 heures";"12,56%";9;46,15;25
;;;;;"18 - 19 heures";"7,98%";7;37,69;8
;;;;;"19 - 20 heures";"15,35%";6;84,63;17
;;"13 Janvier 2015";"13/01/2015";"Total";;"100,00%";"--";"--";75
;;;;"Mardi";"Total";"100,00%";"--";"--";75
;;;;;"9 - 10 heures";"-0,96%";0;;0
;;;;;"10 - 11 heures";"3,96%";1;84,5;1
;;;;;"11 - 12 heures";"8,89%";4;47,47;7
;;;;;"12 - 13 heures";"1,80%";2;19,19;2
;;;;;"13 - 14 heures";"18,15%";10;38,77;17
;;;;;"14 - 15 heures";"14,62%";6;52,06;9
;;;;;"15 - 16 heures";"2,02%";3;14,42;3
;;;;;"16 - 17 heures";"26,55%";11;51,55;17
;;;;;"17 - 18 heures";"10,20%";6;36,33;7
