"Marché";"Marché Label";"Jour";"Jour dd/mm/yyyy";"Jour de la semaine";"Heure";"Poids CA (Global)";"Nb tickets";"Panier Moyen";"Qtés vendues"
"Total";;;;;;"100,00%";"--";"--";253181
2;"BEAUTE";"Total";;;;"100,00%";"--";"--";26827
;;"02 Janvier 2016";"02/01/2016";"Total";;"100,00%";"--";"--";91
;;;;"Samedi";"Total";"100,00%";"--";"--";91
;;;;;"10 - 11 heures";"3,94%";2;72,75;2
;;;;;"11 - 12 heures";"13,93%";5;102,9;7
;;;;;"12 - 13 heures";"6,53%";4;60,25;9
;;;;;"13 - 14 heures";"5,90%";3;72,67;4
;;;;;"14 - 15 heures";"7,56%";8;34,89;12
;;;;;"15 - 16 heures";"7,61%";6;46,83;7
;;;;;"16 - 17 heures";"20,06%";11;67,35;16
;;;;;"17 - 18 heures";"14,20%";14;37,46;17
;;;;;"18 - 19 heures";"17,81%";12;54,83;13
;;;;;"19 - 20 heures";"2,46%";4;22,75;4
;;"04 Janvier 2016";"04/01/2016";"Total";;"100,00%";"--";"--";29
;;;;"Lundi";"Total";"100,00%";"--";"--";29
;;;;;"9 - 10 heures";"6,10%";1;80;1
;;;;;"12 - 13 heures";"10,02%";3;43,83;3
;;;;;"13 - 14 heures";"23,86%";5;62,6;5
;;;;;"14 - 15 heures";"8,04%";2;52,75;3
;;;;;"15 - 16 heures";"20,09%";4;65,88;5
;;;;;"16 - 17 heures";"12,46%";3;54,5;4
;;;;;"17 - 18 heures";"1,75%";1;23;1
;;;;;"18 - 19 heures";"16,72%";6;36,57;6
;;;;;"19 - 20 heures";"0,95%";1;12,5;1
;;"05 Janvier 2016";"05/01/2016";"Total";;"100,00%";"--";"--";35
;;;;"Mardi";"Total";"100,00%";"--";"--";35
;;;;;"10 - 11 heures";"-2,78%";-1;39;-1
;;;;;"11 - 12 heures";"8,99%";2;62,95;2
;;;;;"12 - 13 heures";"6,13%";3;28,63;3
;;;;;"13 - 14 heures";"11,18%";5;31,3;5
;;;;;"14 - 15 heures";"14,49%";5;40,58;6
;;;;;"15 - 16 heures";"10,93%";3;51;5
;;;;;"16 - 17 heures";"25,26%";4;88,45;5
;;;;;"17 - 18 heures";"15,31%";4;53,6;7
;;;;;"18 - 19 heures";"3,36%";2;23,5;2
;;;;;"19 - 20 heures";"7,14%";1;100;1
;;"06 Janvier 2016";"06/01/2016";"Total";;"100,00%";"--";"--";100
;;;;"Mercredi";"Total";"100,00%";"--";"--";100
;;;;;"9 - 10 heures";"2,61%";3;31,58;3
;;;;;"10 - 11 heures";"7,11%";8;32,22;8
;;;;;"11 - 12 heures";"15,39%";9;61,97;15
;;;;;"12 - 13 heures";"1,23%";1;44,5;1
;;;;;"13 - 14 heures";"4,98%";3;60,17;5
;;;;;"14 - 15 heures";"1,64%";3;19,85;4
;;;;;"15 - 16 heures";"17,42%";10;63,16;15
;;;;;"16 - 17 heures";"17,96%";11;59,19;20
;;;;;"17 - 18 heures";"8,44%";4;76,5;6
;;;;;"18 - 19 heures";"4,00%";4;36,25;7
;;;;;"19 - 20 heures";"19,21%";5;139,26;16
;;"07 Janvier 2016";"07/01/2016";"Total";;"100,00%";"--";"--";84
;;;;"Jeudi";"Total";"100,00%";"--";"--";84
;;;;;"9 - 10 heures";"0,49%";1;14,95;1
;;;;;"10 - 11 heures";"5,38%";4;40,7;5
;;;;;"11 - 12 heures";"2,05%";3;20,73;4
;;;;;"12 - 13 heures";"3,50%";6;17,67;6
;;;;;"13 - 14 heures";"5,46%";4;41,31;5
;;;;;"14 - 15 heures";"9,59%";8;36,3;9
;;;;;"15 - 16 heures";"11,31%";7;48,91;10
;;;;;"16 - 17 heures";"17,13%";9;57,63;10
;;;;;"17 - 18 heures";"10,41%";9;35,02;10
;;;;;"18 - 19 heures";"27,47%";10;83,19;18
;;;;;"19 - 20 heures";"5,09%";3;51,42;3
;;;;;"20 - 21 heures";"2,13%";1;64,5;3
;;"08 Janvier 2016";"08/01/2016";"Total";;"100,00%";"--";"--";84
;;;;"Vendredi";"Total";"100,00%";"--";"--";84
;;;;;"9 - 10 heures";"2,29%";2;40,25;2
;;;;;"10 - 11 heures";"8,03%";3;94,17;3
;;;;;"11 - 12 heures";"3,73%";3;43,7;4
;;;;;"12 - 13 heures";"15,16%";7;76,2;11
;;;;;"13 - 14 heures";"9,63%";7;48,39;9
;;;;;"14 - 15 heures";"4,00%";5;28,18;7
;;;;;"15 - 16 heures";"7,25%";6;42,5;6
;;;;;"16 - 17 heures";"15,91%";6;93,28;12
;;;;;"17 - 18 heures";"10,90%";7;54,8;10
;;;;;"18 - 19 heures";"14,09%";7;70,8;11
;;;;;"19 - 20 heures";"7,23%";4;63,6;7
;;;;;"20 - 21 heures";"1,79%";2;31,5;2
;;"09 Janvier 2016";"09/01/2016";"Total";;"100,00%";"--";"--";148
;;;;"Samedi";"Total";"100,00%";"--";"--";148
;;;;;"9 - 10 heures";"1,42%";2;34,65;4
;;;;;"10 - 11 heures";"5,62%";8;34,34;12
;;;;;"11 - 12 heures";"6,78%";7;47,33;11
;;;;;"12 - 13 heures";"7,71%";10;37,72;15
;;;;;"13 - 14 heures";"1,11%";1;54,06;1
;;;;;"14 - 15 heures";"13,43%";14;46,91;23
;;;;;"15 - 16 heures";"14,03%";15;45,72;21
;;;;;"16 - 17 heures";"12,97%";10;63,41;14
;;;;;"17 - 18 heures";"8,93%";9;48,54;11
;;;;;"18 - 19 heures";"11,27%";10;55,08;16
;;;;;"19 - 20 heures";"16,74%";8;102,34;20
;;"10 Janvier 2016";"10/01/2016";"Total";;"100,00%";"--";"--";63
;;;;"Dimanche";"Total";"100,00%";"--";"--";63
;;;;;"10 - 11 heures";"1,03%";1;20,8;1
;;;;;"11 - 12 heures";"14,10%";4;71,16;6
;;;;;"12 - 13 heures";"7,32%";5;29,58;6
;;;;;"13 - 14 heures";"21,83%";6;73,46;8
;;;;;"14 - 15 heures";"17,04%";7;49,16;16
;;;;;"15 - 16 heures";"11,47%";7;33,08;8
;;;;;"16 - 17 heures";"14,80%";7;42,7;10
;;;;;"17 - 18 heures";"8,28%";4;41,8;5
;;;;;"18 - 19 heures";"3,12%";1;63;1
;;;;;"19 - 20 heures";"1,01%";2;10,2;2
;;"11 Janvier 2016";"11/01/2016";"Total";;"100,00%";"--";"--";65
;;;;"Lundi";"Total";"100,00%";"--";"--";65
;;;;;"10 - 11 heures";"6,27%";1;150,5;1
